PTSDpubs ID,Study ID,Analysis Type,Treatment Name,Standardized Treatment Name,Intervention Group,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point,Diagnostic Change Definition Number,Diagnostic Change Definition,Percent Achieved Diagnostic Change,Diagnostic Change Numerator for Percent Achieved,Diagnostic Change Denominator for Percent Achieved,Clinically Meaningful Response Definition Number,Clinically Meaningful Response Definition,Percent Achieved Clinically Meaningful Response,Clinically Meaningful Response Numerator for Percent Achieved,Clinically Meaningful Response Denominator for Percent Achieved,Unique Row Identifier
32054,beck2009,Completer,Group CBT,Trauma-focused cognitive behavioral therapy (TF-CBT),A,,,0,,,,,,2,RCI for IES-R,0.4706,8,17,beck2009_Completer_A_0_2
32054,beck2009,Completer,Minimum contact,Minimal attention,B,,,0,1,Not meeting criteria for PTSD according to CAPS,0.3125,5,16,1,RCI for CAPS,0.3125,5,16,beck2009_Completer_B_0_1
32054,beck2009,Completer,Minimum contact,Minimal attention,B,,,0,,,,,,2,RCI for IES-R,0.375,6,16,beck2009_Completer_B_0_2
1574199,beck2021,Completer,Trauma-focused psychotherapy with music and imagery,Trauma-focused psychotherapy + music therapy,A,,Fisher's exact test,26,,,,,,1,HTQ score <2.5,0.286,10,35,beck2021_Completer_A_26_1
1574199,beck2021,Completer,Trauma-focused psychotherapy as usual,Trauma-focused psychotherapy,B,,Fisher's exact test,26,,,,,,1,HTQ score <2.5,0.111,2,18,beck2021_Completer_B_26_1
31131,becker2007,ITT,Bupropion sustained release,Bupropion,A,,,0,,,,,,1,CGI rated at least minimally improved,0.5556,10,18,becker2007_ITT_A_0_1
31131,becker2007,ITT,Placebo,Placebo,B,,,0,,,,,,1,CGI rated at least minimally improved,,,,becker2007_ITT_B_0_1
35248,beidel2011,Completer,Trauma Management Therapy with Exposure Therapy,Trauma Management Therapy with exposure therapy,A,,,0,,,,,,1,CGI-I rated as 1 or 2,0.43,,,beidel2011_Completer_A_0_1
35248,beidel2011,Completer,Exposure Therapy + psychoeducation,Exposure therapy,B,,,0,,,,,,1,CGI-I rated as 1 or 2,0.44,,,beidel2011_Completer_B_0_1
1554186,bellehsen2021,ITT,Transcendental meditation,Transcendental meditation,A,,Chi-square analysis,0,1,No longer met the criteria for a CAPS-5 PTSD diagnosis,0.5,10,20,1,≥10 point decrease in CAPS-5 severity score,0.5,10,20,bellehsen2021_ITT_A_0_1
1554186,bellehsen2021,ITT,TAU,Treatment as usual (TAU),B,,Chi-square analysis,0,1,No longer met the criteria for a CAPS-5 PTSD diagnosis,0.1,2,20,1,≥10 point decrease in CAPS-5 severity score,0.15,3,20,bellehsen2021_ITT_B_0_1
